length width height sex
93 74 37 M
98 81 38 F
94 78 35 M
103 84 38 F
96 80 35 M
103 86 42 F
101 84 39 M
105 86 40 F
102 85 38 M
109 88 44 F
103 81 37 M
123 92 50 F
104 83 39 M
123 95 46 F
106 83 39 M
133 99 51 F
107 82 38 M
133 102 51 F
112 89 40 M
133 102 51 F
113 88 40 M
134 100 48 F
114 86 40 M
136 102 49 F
116 90 43 M
137 98 51 F
117 90 41 M
138 99 51 F
117 91 41 M
141 105 53 F
119 93 41 M
147 108 57 F
120 89 40 M
149 107 55 F
120 93 44 M
153 107 56 F
121 95 42 M
155 115 63 F
125 93 45 M
155 117 60 F
127 96 45 M
158 115 62 F
128 95 45 M
159 118 63 F
131 95 46 M
162 124 61 F
135 106 47 M
177 132 67 F
